No.,Time,Source,Destination,Protocol,Length,Info
31987,64.762672,192.168.178.52,192.168.178.59,RTP,1126,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30628, Time=2752866214"
31988,64.764391,192.168.178.52,192.168.178.59,RTP,158,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29699, Time=3842512559"
31990,64.766401,192.168.178.52,192.168.178.59,RTP,1126,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30629, Time=2752866214"
31991,64.769444,192.168.178.52,192.168.178.59,RTP,1126,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30630, Time=2752866214"
31993,64.774049,192.168.178.52,192.168.178.59,RTP,1126,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30631, Time=2752866214"
31994,64.778256,192.168.178.52,192.168.178.59,RTP,1126,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30632, Time=2752866214"
31995,64.781145,192.168.178.52,192.168.178.59,RTP,1126,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30633, Time=2752866214, Mark"
32002,64.784602,192.168.178.52,192.168.178.59,RTP,153,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29700, Time=3842513519"
32010,64.790199,192.168.178.52,192.168.178.59,RTP,1161,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30634, Time=2752871974"
32011,64.790304,192.168.178.52,192.168.178.59,RTP,1161,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30635, Time=2752871974"
32013,64.793732,192.168.178.52,192.168.178.59,RTP,1161,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30636, Time=2752871974"
32022,64.798975,192.168.178.52,192.168.178.59,RTP,1161,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30637, Time=2752871974"
32023,64.800746,192.168.178.52,192.168.178.59,RTP,1161,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30638, Time=2752871974"
32024,64.804542,192.168.178.52,192.168.178.59,RTP,1162,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30639, Time=2752871974"
32025,64.80541,192.168.178.52,192.168.178.59,RTP,160,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29701, Time=3842514479"
32027,64.809454,192.168.178.52,192.168.178.59,RTP,1162,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30640, Time=2752871974"
